doi,keywords,pages,number,volume,year,title,booktitle,author,ENTRYTYPE,ID,journal
10.1109/ISDFS65363.2025.11011960,Industries;Technological innovation;Automation;Pipelines;Collaboration;Organizations;Complexity theory;Security;Computer security;Best practices;DevSecOps;SMEs;security integration;CI/CD pipelines;security automation;security culture;security adoption,1-6,,,2025,Advancing DevSecOps in SMEs: Challenges and Best Practices for Secure CI/CD Pipelines,2025 13th International Symposium on Digital Forensics and Security (ISDFS),"Cheenepalli, Jayaprakashreddy and Hastings, John D. and Ahmed, Khandaker Mamun and Fenner, Chad",inproceedings,11011960,
10.1109/PIERS-FALL.2017.8293412,Vibrations;Optical interferometry;Optical sensors;Pipelines;Optical polarization;Optical pulses,1717-1719,,,2017,Real-time distributed oil/gas pipeline security pre warning system based on Φ-OTDR,2017 Progress in Electromagnetics Research Symposium - Fall (PIERS - FALL),"Liu, Xin and Wang, Yu and Jin, Baoquan and Ying, Qirui and Wang, Dong and Wang, Yuncai",inproceedings,8293412,
10.1109/EuroSPW59978.2023.00012,Java;Data privacy;Pipelines;Static analysis;Parallel processing;Software;Application security;DevOps;Application security testing;static analysis;dynamic analysis,58-67,,,2023,An Analysis System to Test Security of Software on Continuous Integration-Continuous Delivery Pipeline,2023 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),"Aparo, Carmelo and Bernardeschi, Cinzia and Lettieri, Giuseppe and Lucattini, Fabio and Montanarella, Salvatore",inproceedings,10190695,
10.1109/ICINIS.2009.9,Pipelines;Security;Digital signal processing;Read-write memory;Control systems;Random access memory;Hardware;Computerized monitoring;Signal processing algorithms;Voltage;leak detection;DSP;dual-port RAM;GPRS,1-3,,,2009,A Pipeline Security Monitoring System Designed Based on the ADSP-BF533,2009 Second International Conference on Intelligent Networks and Intelligent Systems,"Guo-hong, Li and Jiaozhi and Shijun",inproceedings,5366176,
10.1109/CYBERSEC.2016.014,Computer security;Measurement;Tools;Prototypes;US Department of Defense;Cryptography;SCADA;ICS;cybersecurity;metrics;reusable security evaluations,38-43,,,2016,TMT: Technology Matching Tool for SCADA Network Security,2016 Cybersecurity Symposium (CYBERSEC),"Romero-Mariona, Jose and Kerr, Lawrence and Hallman, Roger and Coronado, Braulio and Bryan, Josiah and Kline, Megan and Palavicini, Geancarlo and Major, Maxine and Miguel, John San",inproceedings,7942423,
10.1109/Cyber-RCI59474.2023.10671407,DevOps;Pipelines;Buildings;Vectors;Software;Encoding;Windows,1-7,,,2023,Continuous Pipeline Security with Azure DevOps,2023 Cyber Research Conference - Ireland (Cyber-RCI),"Horan, Conor and Lennon, Ruth G.",inproceedings,10671407,
10.1109/KAM.2011.124,Pipelines;Spatial databases;Business;Vectors;Security;Accuracy;Pipeline Integrity Management;Physical isolation pipeline integrity database;Public pipeline integrity database;GIS;PioaGIS,454-457,,,2011,Research on the Pipeline Security Protection Technology of Pipeline Integrity Based on Gis,2011 Fourth International Symposium on Knowledge Acquisition and Modeling,"Liu, Bin and Zhang, Peng",inproceedings,6137679,
10.1109/AIM.2013.6584320,Pipelines;Vibrations;Noise;Pollution measurement;Instruments;Optical interferometry;Educational institutions,1576-1578,,,2013,Positioning method for pipeline security pre-warning system based on the third-order cumulant algorithm,2013 IEEE/ASME International Conference on Advanced Intelligent Mechatronics,"Feng, Hao and Li, Jian and Chen, Shili and An, Yang and Zeng, Zhoumo and Jin, Shijiu",inproceedings,6584320,
10.1109/ACCESS.2024.3486314,Security;Measurement;Microservice architectures;DevOps;Software;Organizations;Codes;Cloud computing;Automation;Pipelines;Cloud;DevSecOps;metrics;microservices;web,160317-160342,,12,2024,Quantitative DevSecOps Metrics for Cloud-Based Web Microservices,,"Zhang, Jin Yu and Zhang, Yuting",article,10735195,IEEE Access
10.1002/9781394189281.ch8,Measurement;Security;Accuracy;Reviews;Time measurement;Tracking;Publishing,169-193,,,2024,Measuring DevSecOps,The DevSecOps Playbook: Deliver Continuous Security at Speed,"Mack, Sean D.",inbook,10680179,
10.1109/ICM.2015.7438004,Encryption;Field programmable gate arrays;Standards;Clocks;Algorithm design and analysis;Pipeline processing;Data Encryption Standard (DES) Algorithm;Field Programmable Gate Arrays (FPGA) implementation;Pipelining;time variable permutations;security,126-129,,,2015,FPGA implementation of Data Encryption Standard using time variable permutations,2015 27th International Conference on Microelectronics (ICM),"Oukili, Soufiane and Bri, Seddik",inproceedings,7438004,
10.1109/BigData.2015.7364097,Pipelines;Big data;Sparks;Receivers;Computer architecture;Routing;Reflection;spark;architecture;flexible;scalable;dynamic;data ingest;data processing;data cleaning,2843-2845,,,2015,Flexible ingest framework: A scalable architecture for dynamic routing through composable pipelines,2015 IEEE International Conference on Big Data (Big Data),"Samoylov, Alexei and Schlachter, Jason",inproceedings,7364097,
10.1109/EI252483.2021.9712964,Visualization;Sensitivity analysis;Conferences;System integration;Internet;Security;Indexes;regional integrated energy system;security region;security valley;energy supply valley;valley assessment,1474-1478,,,2021,Security and Energy Supply Valleys Assessment of Regional Integrated Energy System Based on Practical Security Region,2021 IEEE 5th Conference on Energy Internet and Energy System Integration (EI2),"Liu, Kaicheng and Chen, Hongyin and Li, Siyuan and Wang, Dan and He, Guixiong and Zheng, Huiping and Liu, Xinyuan and Zhang, Ying",inproceedings,9712964,
10.1109/ACCESS.2019.2930000,Monitoring;Internet of Things;Cloud computing;Software;Computer security;Edge computing;Cybersecurity;DevSecOps;monitoring as code;self-service monitoring,100283-100295,,7,2019,Self-Service Cybersecurity Monitoring as Enabler for DevSecOps,,"Díaz, Jessica and Pérez, Jorge E. and Lopez-Peña, Miguel A. and Mena, Gabriel A. and Yagüe, Agustín",article,8766805,IEEE Access
10.1109/PCIC.2010.5666821,Pipelines;Temperature measurement;Leak detection;SCADA systems;Land surface temperature;Transient analysis;Security;pipeline;SCADA;Leak Detection;Leak Location;Security;CCTV,1-8,,,2010,Integrated SCADA-based approach for pipeline security and operation,2010 Record of Conference Papers Industry Applications Society 57th Annual Petroleum and Chemical Industry Conference (PCIC),"Geiger, Gerhard and Hazel, Terence and Vogt, Daniel",inproceedings,5666821,
