Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Automated Security Testing Using CI/CD Pipeline,ICT: Applications and Social Interfaces,,,,10.1007/978-981-96-5751-3_16,Shravani DeshmukhRushikesh PatilSatish Narkhede,2025,https://link.springer.com/chapter/10.1007/978-981-96-5751-3_16,Conference paper
CI/CD Pipeline in Cloud-Native DevOps,Cloud-Native DevOps,,,,10.1007/979-8-8688-0407-6_4,Mohammed Ilyas Ahmed,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0407-6_4,Chapter
Continuous Integration (CI) and Continuous Delivery (CD),,,,,10.1007/978-1-4842-9228-0,Henry van Merode,2023,https://link.springer.com/book/10.1007/978-1-4842-9228-0,Book
DevSecOps practices and tools,International Journal of Information Security,,,,10.1007/s10207-024-00914-z,Luís PratesRúben Pereira,2024,https://link.springer.com/article/10.1007/s10207-024-00914-z,Article
DevSecOps Integration in Supply Chain Security,Supply Chain Software Security,,,,10.1007/979-8-8688-0799-2_5,Aamiruddin Syed,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0799-2_5,Chapter
Natural Gas Pipeline Security in Central Asia,The Palgrave Encyclopedia of Global Security Studies,,,,10.1007/978-3-319-74319-6_584,András Molnár,2023,https://link.springer.com/rwe/10.1007/978-3-319-74319-6_584,Reference work entry
From LLMOps to DevSecOps for GenAI,Generative AI Security,,,,10.1007/978-3-031-54252-7_8,Ken HuangVishwas ManralWickey Wang,2024,https://link.springer.com/chapter/10.1007/978-3-031-54252-7_8,Chapter
DevSecOps for Web3,A Comprehensive Guide for Web3 Security,,,,10.1007/978-3-031-39288-7_7,Ken Huang,2023,https://link.springer.com/chapter/10.1007/978-3-031-39288-7_7,Chapter
On the need to monitor continuous integration practices,Empirical Software Engineering,,,,10.1007/s10664-025-10682-6,Jadson SantosDaniel Alencar da CostaShane McIntoshUirá Kulesza,2025,https://link.springer.com/article/10.1007/s10664-025-10682-6,Article
"Implementing “DevSecOps as a Culture”—The Concept, Benefits, Execution Strategies, and Challenges",Smart Trends in Computing and Communications,,,,10.1007/978-981-97-1326-4_16,Sairaj S. LumpatkiSwapnaja PatwardhanMukul Kulkarni,2024,https://link.springer.com/chapter/10.1007/978-981-97-1326-4_16,Conference paper
DevOps Security (DevSecOps),A Complete Guide to DevOps with AWS,,,,10.1007/978-1-4842-9303-4_8,Osama Mustafa,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9303-4_8,Chapter
From DevOps to DevSecOps is not enough. CyberDevOps: an extreme shifting-left architecture to bring cybersecurity within software security lifecycle pipeline,Software Quality Journal,,,,10.1007/s11219-023-09619-3,Federico LombardiAlberto Fanton,2023,https://link.springer.com/article/10.1007/s11219-023-09619-3,Article
AI-driven cybersecurity framework for software development based on the ANN-ISM paradigm,Scientific Reports,,,,10.1038/s41598-025-97204-y,Habib Ullah KhanRafiq Ahmad KhanHathal S. AlwageedAlaa Omran AlmagrabiSarra AyouniMohamed Maddeh,2025,https://link.springer.com/article/10.1038/s41598-025-97204-y,Article
Best Practices for Application Security,Supply Chain Software Security,,,,10.1007/979-8-8688-0799-2_4,Aamiruddin Syed,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0799-2_4,Chapter
Using Secure Infrastructure of Unmanned Intelligent Systems to Support Mine Clearance,Integrated Computer Technologies in Mechanical Engineering - 2024,,,,10.1007/978-3-031-94845-9_41,Bohdan KosarevskyiArtem Tetskyi,2025,https://link.springer.com/chapter/10.1007/978-3-031-94845-9_41,Conference paper
Software Development Security,CISSP Exam Certification Companion,,,,10.1007/979-8-8688-0057-3_10,Mohamed Aly Bouke,2023,https://link.springer.com/chapter/10.1007/979-8-8688-0057-3_10,Chapter
Automated NFR testing in continuous integration environments: a multi-case study of Nordic companies,Empirical Software Engineering,,,,10.1007/s10664-023-10356-1,Liang YuEmil AlégrothPanagiota ChatzipetrouTony Gorschek,2023,https://link.springer.com/article/10.1007/s10664-023-10356-1,Article
Securing IoT-Driven Supply Chains,Supply Chain Software Security,,,,10.1007/979-8-8688-0799-2_7,Aamiruddin Syed,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0799-2_7,Chapter
Enterprise Cloud Native Automation,Cloud Native Architecture and Design,,,,10.1007/978-1-4842-7226-8_14,Shivakumar R Goniwada,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7226-8_14,Chapter
Towards deep learning enabled cybersecurity risk assessment for microservice architectures,Cluster Computing,,,,10.1007/s10586-024-05092-0,Majid AbdulsatarHussain AhmadDiksha GoelFaheem Ullah,2025,https://link.springer.com/article/10.1007/s10586-024-05092-0,Article
Cloud-Native Maturity Models,Observability Engineering with Cilium,,,,10.1007/979-8-8688-1258-3_3,Dr. Mehdi Ghane,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1258-3_3,Chapter
