title,authors,doi,source,year,keywords,database_source
Advancing DevSecOps in SMEs: Challenges and Best Practices for Secure CI/CD Pipelines,"Cheenepalli, Jayaprakashreddy and Hastings, John D. and Ahmed, Khandaker Mamun and Fenner, Chad",10.1109/ISDFS65363.2025.11011960,2025 13th International Symposium on Digital Forensics and Security (ISDFS),2025,Industries;Technological innovation;Automation;Pipelines;Collaboration;Organizations;Complexity theory;Security;Computer security;Best practices;DevSecOps;SMEs;security integration;CI/CD pipelines;security automation;security culture;security adoption,ieee
Real-time distributed oil/gas pipeline security pre warning system based on Φ-OTDR,"Liu, Xin and Wang, Yu and Jin, Baoquan and Ying, Qirui and Wang, Dong and Wang, Yuncai",10.1109/PIERS-FALL.2017.8293412,2017 Progress in Electromagnetics Research Symposium - Fall (PIERS - FALL),2017,Vibrations;Optical interferometry;Optical sensors;Pipelines;Optical polarization;Optical pulses,ieee
An Analysis System to Test Security of Software on Continuous Integration-Continuous Delivery Pipeline,"Aparo, Carmelo and Bernardeschi, Cinzia and Lettieri, Giuseppe and Lucattini, Fabio and Montanarella, Salvatore",10.1109/EuroSPW59978.2023.00012,2023 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),2023,Java;Data privacy;Pipelines;Static analysis;Parallel processing;Software;Application security;DevOps;Application security testing;static analysis;dynamic analysis,ieee
A Pipeline Security Monitoring System Designed Based on the ADSP-BF533,"Guo-hong, Li and Jiaozhi and Shijun",10.1109/ICINIS.2009.9,2009 Second International Conference on Intelligent Networks and Intelligent Systems,2009,Pipelines;Security;Digital signal processing;Read-write memory;Control systems;Random access memory;Hardware;Computerized monitoring;Signal processing algorithms;Voltage;leak detection;DSP;dual-port RAM;GPRS,ieee
TMT: Technology Matching Tool for SCADA Network Security,"Romero-Mariona, Jose and Kerr, Lawrence and Hallman, Roger and Coronado, Braulio and Bryan, Josiah and Kline, Megan and Palavicini, Geancarlo and Major, Maxine and Miguel, John San",10.1109/CYBERSEC.2016.014,2016 Cybersecurity Symposium (CYBERSEC),2016,Computer security;Measurement;Tools;Prototypes;US Department of Defense;Cryptography;SCADA;ICS;cybersecurity;metrics;reusable security evaluations,ieee
Continuous Pipeline Security with Azure DevOps,"Horan, Conor and Lennon, Ruth G.",10.1109/Cyber-RCI59474.2023.10671407,2023 Cyber Research Conference - Ireland (Cyber-RCI),2023,DevOps;Pipelines;Buildings;Vectors;Software;Encoding;Windows,ieee
Research on the Pipeline Security Protection Technology of Pipeline Integrity Based on Gis,"Liu, Bin and Zhang, Peng",10.1109/KAM.2011.124,2011 Fourth International Symposium on Knowledge Acquisition and Modeling,2011,Pipelines;Spatial databases;Business;Vectors;Security;Accuracy;Pipeline Integrity Management;Physical isolation pipeline integrity database;Public pipeline integrity database;GIS;PioaGIS,ieee
Positioning method for pipeline security pre-warning system based on the third-order cumulant algorithm,"Feng, Hao and Li, Jian and Chen, Shili and An, Yang and Zeng, Zhoumo and Jin, Shijiu",10.1109/AIM.2013.6584320,2013 IEEE/ASME International Conference on Advanced Intelligent Mechatronics,2013,Pipelines;Vibrations;Noise;Pollution measurement;Instruments;Optical interferometry;Educational institutions,ieee
Quantitative DevSecOps Metrics for Cloud-Based Web Microservices,"Zhang, Jin Yu and Zhang, Yuting",10.1109/ACCESS.2024.3486314,,2024,Security;Measurement;Microservice architectures;DevOps;Software;Organizations;Codes;Cloud computing;Automation;Pipelines;Cloud;DevSecOps;metrics;microservices;web,ieee
Measuring DevSecOps,"Mack, Sean D.",10.1002/9781394189281.ch8,The DevSecOps Playbook: Deliver Continuous Security at Speed,2024,Measurement;Security;Accuracy;Reviews;Time measurement;Tracking;Publishing,ieee
