title,authors,doi,source,year,keywords,database_source
Automated Security Testing Using CI/CD Pipeline,Shravani DeshmukhRushikesh PatilSatish Narkhede,10.1007/978-981-96-5751-3_16,ICT: Applications and Social Interfaces,2025,,springerlink
CI/CD Pipeline in Cloud-Native DevOps,Mohammed Ilyas Ahmed,10.1007/979-8-8688-0407-6_4,Cloud-Native DevOps,2024,,springerlink
Continuous Integration (CI) and Continuous Delivery (CD),Henry van Merode,10.1007/978-1-4842-9228-0,,2023,,springerlink
DevSecOps practices and tools,Luís PratesRúben Pereira,10.1007/s10207-024-00914-z,International Journal of Information Security,2024,,springerlink
DevSecOps Integration in Supply Chain Security,Aamiruddin Syed,10.1007/979-8-8688-0799-2_5,Supply Chain Software Security,2024,,springerlink
Natural Gas Pipeline Security in Central Asia,András Molnár,10.1007/978-3-319-74319-6_584,The Palgrave Encyclopedia of Global Security Studies,2023,,springerlink
From LLMOps to DevSecOps for GenAI,Ken HuangVishwas ManralWickey Wang,10.1007/978-3-031-54252-7_8,Generative AI Security,2024,,springerlink
DevSecOps for Web3,Ken Huang,10.1007/978-3-031-39288-7_7,A Comprehensive Guide for Web3 Security,2023,,springerlink
On the need to monitor continuous integration practices,Jadson SantosDaniel Alencar da CostaShane McIntoshUirá Kulesza,10.1007/s10664-025-10682-6,Empirical Software Engineering,2025,,springerlink
"Implementing “DevSecOps as a Culture”—The Concept, Benefits, Execution Strategies, and Challenges",Sairaj S. LumpatkiSwapnaja PatwardhanMukul Kulkarni,10.1007/978-981-97-1326-4_16,Smart Trends in Computing and Communications,2024,,springerlink
DevOps Security (DevSecOps),Osama Mustafa,10.1007/978-1-4842-9303-4_8,A Complete Guide to DevOps with AWS,2023,,springerlink
From DevOps to DevSecOps is not enough. CyberDevOps: an extreme shifting-left architecture to bring cybersecurity within software security lifecycle pipeline,Federico LombardiAlberto Fanton,10.1007/s11219-023-09619-3,Software Quality Journal,2023,,springerlink
AI-driven cybersecurity framework for software development based on the ANN-ISM paradigm,Habib Ullah KhanRafiq Ahmad KhanHathal S. AlwageedAlaa Omran AlmagrabiSarra AyouniMohamed Maddeh,10.1038/s41598-025-97204-y,Scientific Reports,2025,,springerlink
